appid,game,country_code,country,collected_at,currency,price_local,is_free,on_sale,discount_pct,available
374320,Dark Souls III,cn,China,2026-05-05T19:45:56.130853,CNY,268.0,False,False,0,True
374320,Dark Souls III,ru,Russia,2026-05-05T19:45:57.839455,RUB,2399.0,False,False,0,True
374320,Dark Souls III,de,Germany,2026-05-05T19:45:59.616429,EUR,59.99,False,False,0,True
374320,Dark Souls III,gb,United Kingdom,2026-05-05T19:46:01.351970,GBP,39.99,False,False,0,True
374320,Dark Souls III,jp,Japan,2026-05-05T19:46:03.104837,JPY,5940.0,False,False,0,True
374320,Dark Souls III,br,Brazil,2026-05-05T19:46:05.191811,BRL,229.9,False,False,0,True
374320,Dark Souls III,au,Australia,2026-05-05T19:46:07.052972,AUD,84.95,False,False,0,True
374320,Dark Souls III,tr,Turkey,2026-05-05T19:46:08.902238,USD,39.99,False,False,0,True
374320,Dark Souls III,in,India,2026-05-05T19:46:11.066765,INR,4299.0,False,False,0,True
814380,Sekiro,us,United States,2026-05-05T19:46:12.777346,USD,59.99,False,False,0,True
814380,Sekiro,cn,China,2026-05-05T19:46:14.479566,CNY,268.0,False,False,0,True
814380,Sekiro,ru,Russia,2026-05-05T19:46:16.268097,RUB,,False,False,0,False
814380,Sekiro,de,Germany,2026-05-05T19:46:17.968785,EUR,59.99,False,False,0,True
814380,Sekiro,gb,United Kingdom,2026-05-05T19:46:19.710029,GBP,49.9,False,False,0,True
814380,Sekiro,jp,Japan,2026-05-05T19:46:21.431409,JPY,8360.0,False,False,0,True
814380,Sekiro,br,Brazil,2026-05-05T19:46:23.126571,BRL,274.0,False,False,0,True
814380,Sekiro,au,Australia,2026-05-05T19:46:25.112978,AUD,89.95,False,False,0,True
814380,Sekiro,tr,Turkey,2026-05-05T19:46:27.087374,USD,59.99,False,False,0,True
814380,Sekiro,in,India,2026-05-05T19:46:29.033902,INR,4997.0,False,False,0,True
990080,Hogwarts Legacy,us,United States,2026-05-05T19:46:31.024452,USD,59.99,False,False,0,True
990080,Hogwarts Legacy,cn,China,2026-05-05T19:46:32.797704,CNY,384.0,False,False,0,True
990080,Hogwarts Legacy,ru,Russia,2026-05-05T19:46:34.493810,RUB,,False,False,0,False
990080,Hogwarts Legacy,de,Germany,2026-05-05T19:46:36.238562,EUR,59.99,False,False,0,True
990080,Hogwarts Legacy,gb,United Kingdom,2026-05-05T19:46:38.008145,GBP,49.99,False,False,0,True
990080,Hogwarts Legacy,jp,Japan,2026-05-05T19:46:39.834427,JPY,8778.0,False,False,0,True
990080,Hogwarts Legacy,br,Brazil,2026-05-05T19:46:41.564098,BRL,249.99,False,False,0,True
990080,Hogwarts Legacy,au,Australia,2026-05-05T19:46:43.522693,AUD,89.95,False,False,0,True
990080,Hogwarts Legacy,tr,Turkey,2026-05-05T19:46:45.472809,USD,59.99,False,False,0,True
990080,Hogwarts Legacy,in,India,2026-05-05T19:46:47.528331,INR,3999.0,False,False,0,True
2050650,Resident Evil 4 Remake,us,United States,2026-05-05T19:46:49.632259,USD,39.99,False,False,0,True
2050650,Resident Evil 4 Remake,cn,China,2026-05-05T19:46:51.525007,CNY,198.0,False,False,0,True
2050650,Resident Evil 4 Remake,ru,Russia,2026-05-05T19:46:53.229572,RUB,,False,False,0,False
2050650,Resident Evil 4 Remake,de,Germany,2026-05-05T19:46:54.966607,EUR,39.99,False,False,0,True
2050650,Resident Evil 4 Remake,gb,United Kingdom,2026-05-05T19:46:56.693215,GBP,34.99,False,False,0,True
2050650,Resident Evil 4 Remake,jp,Japan,2026-05-05T19:46:58.516215,JPY,4990.0,False,False,0,True
2050650,Resident Evil 4 Remake,br,Brazil,2026-05-05T19:47:00.334028,BRL,169.0,False,False,0,True
